src_idx,tgt_idx,src_x,src_y,src_z,tgt_x,tgt_y,tgt_z,fpfh_l2_distance,residual_after_transform,is_geometrically_consistent
7.400000000000000000e+01,3.470000000000000000e+02,4.105797195434570312e+01,6.363111495971679688e+00,-2.754428625106811523e+00,2.478808784484863281e+01,-4.131121158599853516e+00,8.368267059326171875e+00,4.466747503046775591e+00,1.960812429195095419e+01,0.000000000000000000e+00
7.500000000000000000e+01,5.100000000000000000e+01,2.935670661926269531e+01,-2.990776598453521729e-01,2.891421556472778320e+00,2.535165596008300781e+01,-3.126840114593505859e+00,8.433961868286132812e+00,0.000000000000000000e+00,5.852069552661539831e+00,0.000000000000000000e+00
9.000000000000000000e+01,3.236000000000000000e+03,2.829787063598632812e+01,-1.740908980369567871e+00,1.892987966537475586e+00,4.678370285034179688e+01,-4.735033035278320312e+00,-2.567657947540283203e+00,2.944029992854027000e+01,2.093124175719921354e+01,0.000000000000000000e+00
9.100000000000000000e+01,2.848000000000000000e+03,3.316262435913085938e+01,-8.110413551330566406e+00,1.872527837753295898e+00,1.772324371337890625e+01,-4.118029117584228516e+00,3.302090764045715332e-01,7.871241610138928024e+01,1.495430793955603122e+01,0.000000000000000000e+00
9.200000000000000000e+01,2.406000000000000000e+03,2.704187965393066406e+01,-9.263696670532226562e+00,1.818364739418029785e+00,3.994467163085937500e+01,5.290023088455200195e-01,-2.414965867996215820e+00,2.605269909648886539e+01,2.070690837960685116e+01,0.000000000000000000e+00
9.500000000000000000e+01,3.344000000000000000e+03,2.811801910400390625e+01,-6.232969090342521667e-02,1.774031758308410645e+00,3.756684875488281250e+01,-1.392899513244628906e+01,-1.397678613662719727e+00,4.535486430972503769e+01,1.583221091273554038e+01,0.000000000000000000e+00
1.090000000000000000e+02,3.514000000000000000e+03,2.668683052062988281e+01,-1.000555706024169922e+01,1.648674845695495605e+00,4.822412872314453125e+01,2.964163398742675781e+01,-1.163235425949096680e+00,9.217201780194191940e+01,4.917086517031180648e+01,0.000000000000000000e+00
1.140000000000000000e+02,1.058000000000000000e+03,3.090236473083496094e+01,-1.006737995147705078e+01,1.598759651184082031e+00,3.793433888753255445e+01,-1.098267300923665424e+01,3.047312597433726178e-01,3.873471504754031969e+01,1.037540362497661839e+01,0.000000000000000000e+00
1.160000000000000000e+02,2.969000000000000000e+03,3.079192924499511719e+01,-9.824403762817382812e+00,1.589385390281677246e+00,2.243136405944824219e+01,-4.536203861236572266e+00,-1.185620903968811035e+00,3.138422818684511384e+01,1.065534426140759727e+01,0.000000000000000000e+00
1.180000000000000000e+02,1.532000000000000000e+03,2.764855194091796875e+01,-7.608051776885986328e+00,1.583459377288818359e+00,3.326055102878146386e+01,2.649186642964680871e+01,-2.719265964296129212e+00,3.481101116476068569e+01,3.830827839219923447e+01,0.000000000000000000e+00
1.270000000000000000e+02,2.264000000000000000e+03,3.182994556427001953e+01,-8.731644630432128906e+00,1.563618302345275879e+00,7.464619636535644531e+00,-4.355320930480957031e+00,-3.464152812957763672e-01,3.394274530974062287e+01,2.307020827491484738e+01,0.000000000000000000e+00
1.330000000000000000e+02,3.026000000000000000e+03,3.537402153015136719e+01,-8.394008636474609375e+00,1.534452855587005615e+00,2.244318580627441406e+01,-4.198090553283691406e+00,-9.785658121109008789e-01,3.134326651516733264e+01,1.328592154175621687e+01,0.000000000000000000e+00
1.400000000000000000e+02,3.669000000000000000e+03,3.396742057800292969e+01,-8.590619087219238281e+00,1.509108483791351318e+00,2.933780860900878906e+01,-1.224737834930419922e+01,1.521208047866821289e+00,3.386872911259953867e+01,1.849002552406814548e+00,0.000000000000000000e+00
1.460000000000000000e+02,2.177000000000000000e+03,3.086022377014160156e+01,-1.010282516479492188e+01,1.490196824073791504e+00,1.401733016967773438e+01,-4.028064250946044922e+00,-9.028206467628479004e-01,3.597890541207568305e+01,1.700988416448121399e+01,0.000000000000000000e+00
1.490000000000000000e+02,3.589000000000000000e+03,3.065655326843261719e+01,-1.003754043579101562e+01,1.481220602989196777e+00,3.331068801879882812e+01,2.680264091491699219e+01,-2.596914529800415039e+00,3.147571699412337409e+01,4.083079768389018938e+01,0.000000000000000000e+00
1.510000000000000000e+02,2.164000000000000000e+03,3.209775543212890625e+01,-1.214474105834960938e+01,1.478171586990356445e+00,4.401032447814941406e+00,-3.214622497558593750e+00,-9.657006859779357910e-01,3.849960480018162201e+01,2.760817150222246497e+01,0.000000000000000000e+00
1.550000000000000000e+02,1.781000000000000000e+03,3.088366190592448035e+01,-1.000779406229654889e+01,1.467836419741312737e+00,2.593962478637695312e+01,-2.884950399398803711e+00,8.693879246711730957e-01,3.375878762482050632e+01,1.075280666873564073e+01,0.000000000000000000e+00
1.640000000000000000e+02,8.190000000000000000e+02,3.081622314453125000e+01,-9.564333915710449219e+00,1.429886341094970703e+00,1.427340793609619141e+01,-4.103211879730224609e+00,-1.278543710708618164e+00,3.210302422482320139e+01,1.652943184100687191e+01,0.000000000000000000e+00
1.680000000000000000e+02,3.661000000000000000e+03,3.080495452880859375e+01,-9.844004631042480469e+00,1.427893280982971191e+00,1.417480468750000000e+01,-4.264604568481445312e+00,-1.181993603706359863e+00,3.438729905373000406e+01,1.661937757098606028e+01,0.000000000000000000e+00
1.770000000000000000e+02,1.310000000000000000e+02,2.773262278238932410e+01,-7.916568279266357422e+00,1.449614167213439941e+00,3.119097900390625000e+01,-1.251451015472412109e+01,1.720814704895019531e+00,3.586494775561443760e+01,6.314014263887361089e+00,0.000000000000000000e+00
1.840000000000000000e+02,3.212000000000000000e+03,3.082683897018432617e+01,-9.903608560562133789e+00,1.426564335823059082e+00,4.232069015502929688e+01,1.649781036376953125e+01,-2.174276351928710938e+00,3.038105163462516600e+01,3.332031210762981743e+01,0.000000000000000000e+00
1.900000000000000000e+02,2.300000000000000000e+03,3.219057464599609375e+01,-1.182038021087646484e+01,1.364788293838500977e+00,4.582781314849853516e+00,-3.191662549972534180e+00,-1.044203758239746094e+00,4.071050747418217242e+01,2.743023333042341250e+01,0.000000000000000000e+00
1.950000000000000000e+02,1.540000000000000000e+03,2.792246437072753906e+01,-9.940186500549316406e+00,1.353380680084228516e+00,5.558917236328125000e+01,2.909004020690917969e+01,-3.158267736434936523e+00,2.203288936771502549e+01,5.222927880632648368e+01,0.000000000000000000e+00
2.000000000000000000e+02,2.458000000000000000e+03,3.079759025573730469e+01,-1.003086757659912109e+01,1.669705510139465332e+00,1.186233901977539062e+01,-9.440793991088867188e+00,-6.517450213432312012e-01,4.914267541600322176e+01,1.666626075798504658e+01,0.000000000000000000e+00
2.010000000000000000e+02,8.460000000000000000e+02,2.768272018432617188e+01,-7.978546619415283203e+00,1.347139954566955566e+00,3.129064178466796875e+01,-1.255411148071289062e+01,1.726216912269592285e+00,3.081432348094055840e+01,6.466128698067676872e+00,0.000000000000000000e+00
2.070000000000000000e+02,3.154000000000000000e+03,3.186184628804524621e+01,-8.616055170694986387e+00,1.331954161326090569e+00,3.335462951660156250e+01,2.655899238586425781e+01,-2.593562841415405273e+00,2.937257774182032932e+01,3.916014375674902936e+01,0.000000000000000000e+00
2.120000000000000000e+02,3.090000000000000000e+03,3.087041473388671875e+01,-1.012657499313354492e+01,1.344517827033996582e+00,3.318685913085937500e+01,2.695900344848632812e+01,-2.863168001174926758e+00,3.373564906085294979e+01,4.106633595501837419e+01,0.000000000000000000e+00
2.230000000000000000e+02,1.970000000000000000e+02,3.287781524658203125e+01,-8.622553507486978575e+00,1.344069401423136467e+00,3.006429862976074219e+01,-1.222881793975830078e+01,1.246097087860107422e+00,2.722104330996909383e+01,1.993230491207851895e-01,1.000000000000000000e+00
2.320000000000000000e+02,1.410000000000000000e+02,2.816256141662597656e+01,-1.172701641917228699e-01,1.264822483062744141e+00,2.717943382263183594e+01,-3.632719278335571289e+00,1.663147687911987305e+00,3.093155853605091465e+01,8.645626132878959647e-01,1.000000000000000000e+00
2.510000000000000000e+02,7.880000000000000000e+02,3.194283676147460938e+01,-8.508832931518554688e+00,1.220128774642944336e+00,1.443192958831787109e+01,-4.143253803253173828e+00,-1.418787121772766113e+00,3.036981552062720269e+01,1.696036209799300920e+01,0.000000000000000000e+00
2.540000000000000000e+02,9.700000000000000000e+01,2.665489959716796875e+01,-7.286089420318603516e+00,1.216400027275085449e+00,2.575183868408203125e+01,-5.636168003082275391e+00,2.075165510177612305e+00,0.000000000000000000e+00,4.935500947429830809e+00,0.000000000000000000e+00
2.580000000000000000e+02,3.499000000000000000e+03,3.162888336181640625e+01,-8.739252567291259766e+00,1.243246912956237793e+00,1.081188535690307617e+01,-9.636880874633789062e+00,-1.763041391968727112e-01,3.015776650759716304e+01,1.827964454709695019e+01,0.000000000000000000e+00
2.600000000000000000e+02,1.143000000000000000e+03,2.945101356506347656e+01,-1.000462818145751953e+01,1.201942682266235352e+00,1.186037349700927734e+01,-4.096160888671875000e+00,-1.135990142822265625e+00,2.917470229096928946e+01,1.745839731408531037e+01,0.000000000000000000e+00
2.650000000000000000e+02,1.660000000000000000e+02,3.076315879821777344e+01,-9.881319046020507812e+00,1.193829894065856934e+00,2.754108810424804688e+01,-2.716291189193725586e+00,1.670476317405700684e+00,3.691390220540002787e+01,1.057937598296473602e+01,0.000000000000000000e+00
2.670000000000000000e+02,1.291000000000000000e+03,3.403257560729980469e+01,-8.422379970550537109e+00,1.229928493499755859e+00,1.241485977172851562e+01,-4.127501487731933594e+00,-1.157976031303405762e+00,2.902576227712469148e+01,2.066412064499852974e+01,0.000000000000000000e+00
2.770000000000000000e+02,2.213000000000000000e+03,2.985210609436035156e+01,-1.188355255126953125e+01,1.169804811477661133e+00,5.338204860687255859e+00,-3.731433868408203125e+00,-8.920863270759582520e-01,3.585115151250053600e+01,2.432342020562503393e+01,0.000000000000000000e+00
2.800000000000000000e+02,6.570000000000000000e+02,3.401388168334960938e+01,-8.401397705078125000e+00,1.168509364128112793e+00,1.455462169647216797e+01,-4.545944690704345703e+00,-1.018224239349365234e+00,3.303131932040214735e+01,1.850568539716388017e+01,0.000000000000000000e+00
2.860000000000000000e+02,2.360000000000000000e+02,3.294559860229492188e+01,-8.508827209472656250e+00,1.142040371894836426e+00,3.036637306213378906e+01,-1.235961437225341797e+01,1.055391430854797363e+00,2.774410999746998030e+01,3.165199472474828912e-01,1.000000000000000000e+00
2.940000000000000000e+02,2.640000000000000000e+02,3.164671325683593750e+01,-8.888713836669921875e+00,1.377576828002929688e+00,2.567164230346679688e+01,-4.075279235839843750e+00,8.995867371559143066e-01,3.300007551480625523e+01,8.930392088498512848e+00,0.000000000000000000e+00
2.950000000000000000e+02,3.830000000000000000e+03,3.418601989746093750e+01,-8.539239883422851562e+00,1.114396333694458008e+00,3.117511177062988281e+01,-1.249775695800781250e+01,1.406881809234619141e+00,2.489541235781158690e+01,3.363440871686375067e-01,1.000000000000000000e+00
3.030000000000000000e+02,9.560000000000000000e+02,2.783078193664550781e+01,-1.065651297569274902e+00,1.093795895576477051e+00,2.711812210083007812e+01,-2.992601394653320312e+00,8.217093348503112793e-01,2.879959429727325215e+01,1.699060249395194955e+00,0.000000000000000000e+00
3.040000000000000000e+02,3.713000000000000000e+03,3.163711166381835938e+01,-8.723845481872558594e+00,1.104609727859497070e+00,7.806054830551147461e+00,-4.326974868774414062e+00,-8.806236684322357178e-01,2.995376802922485027e+01,2.257748635381082636e+01,0.000000000000000000e+00
3.250000000000000000e+02,4.820000000000000000e+02,3.171244049072265625e+01,-8.831254959106445312e+00,9.805395007133483887e-01,1.096826934814453125e+01,-9.620046615600585938e+00,-1.600676774978637695e-01,3.375116967065368101e+01,1.819190410989433460e+01,0.000000000000000000e+00
3.340000000000000000e+02,2.539000000000000000e+03,3.130344200134277344e+01,-7.367609500885009766e+00,9.104833006858825684e-01,5.279952526092529297e+00,-2.861930370330810547e+00,-1.090753555297851562e+00,7.206086765449555287e+01,2.481516784699193323e+01,0.000000000000000000e+00
3.350000000000000000e+02,1.082000000000000000e+03,3.391677093505859375e+01,-8.399316787719726562e+00,9.011877179145812988e-01,1.212242031097412109e+01,-3.965465068817138672e+00,-9.253108501434326172e-01,2.873654620616985866e+01,2.081707324630067646e+01,0.000000000000000000e+00
3.400000000000000000e+02,1.050000000000000000e+02,2.772260093688964844e+01,-1.289381623268127441e+00,8.496580719947814941e-01,2.726879119873046875e+01,-5.222692966461181641e+00,2.008668661117553711e+00,3.252027896804499818e+01,1.928303744339882275e+00,0.000000000000000000e+00
3.420000000000000000e+02,2.237000000000000000e+03,2.708379745483398438e+01,-6.004346013069152832e-01,8.094286322593688965e-01,2.556426811218261719e+01,-2.957296609878540039e+00,5.345893502235412598e-01,4.008993942039817426e+01,8.450388654837385216e-01,1.000000000000000000e+00
3.480000000000000000e+02,3.272000000000000000e+03,2.812351608276367188e+01,-6.263290643692016602e-01,7.019954919815063477e-01,2.792500495910644531e+01,-5.176080703735351562e+00,2.138148307800292969e+00,2.672523377600899863e+01,2.478971672024695927e+00,0.000000000000000000e+00
3.530000000000000000e+02,8.000000000000000000e+01,2.841017532348632812e+01,-1.983133196830749512e+00,6.410725712776184082e-01,2.675535583496093750e+01,-4.201998233795166016e+00,2.423887729644775391e+00,2.436603642106847900e+01,1.917348894388975822e+00,0.000000000000000000e+00
3.550000000000000000e+02,2.190000000000000000e+02,2.830702018737792969e+01,-1.102449893951416016e+00,6.123093962669372559e-01,2.673026275634765625e+01,-2.440404891967773438e+00,1.131821990013122559e+00,4.487450090937991121e+01,1.887375938539547660e+00,0.000000000000000000e+00
3.820000000000000000e+02,3.479000000000000000e+03,2.688042259216308594e+01,-2.349873542785644531e+00,3.858424127101898193e-01,1.728321647644042969e+01,-1.972023606300354004e+00,-8.363527059555053711e-01,3.426855890227346890e+01,8.426268290047747911e+00,0.000000000000000000e+00
3.900000000000000000e+02,4.520000000000000000e+02,2.813745880126953125e+01,-6.582836508750915527e-01,2.526747584342956543e-01,2.623650550842285156e+01,-4.032939434051513672e+00,2.109268680214881897e-02,5.036488979679948841e+01,4.620580513047949922e-01,1.000000000000000000e+00
3.950000000000000000e+02,1.006000000000000000e+03,2.715508270263671875e+01,-2.024890661239624023e+00,1.633641570806503296e-01,6.832670593261718750e+01,-1.267914652824401855e+00,7.879900455474853516e+00,3.293779811166709237e+01,4.395175299032585770e+01,0.000000000000000000e+00
4.000000000000000000e+02,2.312000000000000000e+03,3.033264160156250000e+01,-1.341726899147033691e+00,1.228384301066398621e-01,1.202088832855224609e+01,-3.088218212127685547e+00,-1.050934553146362305e+00,2.859690309933809971e+01,1.654772460033742831e+01,0.000000000000000000e+00
4.100000000000000000e+02,1.941000000000000000e+03,2.770397567749023438e+01,-4.079695791006088257e-02,-7.015609741210937500e-02,3.853792953491210938e+01,-5.018289089202880859e+00,1.079868748784065247e-01,4.828878120021597908e+01,1.270074482011116856e+01,0.000000000000000000e+00
4.140000000000000000e+02,1.238000000000000000e+03,2.812662696838378906e+01,-1.409453630447387695e+00,-1.054679080843925476e-01,9.405611991882324219e+00,-3.977665066719055176e+00,-7.953400909900665283e-01,4.177949452378583572e+01,1.685855723328525002e+01,0.000000000000000000e+00
4.180000000000000000e+02,2.062000000000000000e+03,2.948094940185546875e+01,-6.770460009574890137e-01,-2.357578575611114502e-01,1.088157590230306049e+01,-4.866234779357910156e+00,-1.021387894948323494e+00,7.303341453521538540e+01,1.683301854993773716e+01,0.000000000000000000e+00
4.260000000000000000e+02,4.000000000000000000e+00,3.111667060852050781e+01,-1.527289867401123047e+01,-4.370858967304229736e-01,3.805386352539062500e+01,-1.215462017059326172e+01,9.343166351318359375e-01,8.059418086059656616e+01,1.242997457250884530e+01,0.000000000000000000e+00
4.270000000000000000e+02,3.602000000000000000e+03,3.089710807800292969e+01,-1.258403968811035156e+01,-5.090512633323669434e-01,5.073384475708007812e+01,2.906934356689453125e+01,-1.712706804275512695e+00,6.254262575670733781e+01,5.062635133716621993e+01,0.000000000000000000e+00
4.290000000000000000e+02,1.770000000000000000e+03,2.714368438720703125e+01,-8.723706007003784180e-01,-6.345841288566589355e-01,6.746086883544921875e+01,-1.566770911216735840e+00,7.424361705780029297e+00,2.230821694829025503e+01,4.293743629231502013e+01,0.000000000000000000e+00
4.310000000000000000e+02,3.539000000000000000e+03,3.117348098754882812e+01,-1.249472236633300781e+01,-7.302150130271911621e-01,5.148170471191406250e+01,2.949685287475585938e+01,-1.737974524497985840e+00,3.763020811494143913e+01,5.116293289789557974e+01,0.000000000000000000e+00
4.320000000000000000e+02,1.247000000000000000e+03,2.729389953613281250e+01,-3.813516497611999512e-01,-1.162215471267700195e+00,8.719527244567871094e+00,-9.250006675720214844e+00,-1.357901453971862793e+00,3.755331194542286966e+01,1.779299556992359044e+01,0.000000000000000000e+00
4.460000000000000000e+02,2.173000000000000000e+03,2.553115558624267578e+01,-2.005017638206481934e+00,-1.666865706443786621e+00,7.369142055511474609e+00,-7.018657922744750977e-01,-9.406203627586364746e-01,4.117551808119232248e+01,1.673768907883854595e+01,0.000000000000000000e+00
4.510000000000000000e+02,1.324000000000000000e+03,2.545305633544921875e+01,-2.274754524230957031e+00,-1.890681982040405273e+00,1.135642242431640625e+01,-4.605429172515869141e+00,-1.079035878181457520e+00,4.551057638495750268e+01,1.214271859086994532e+01,0.000000000000000000e+00
4.550000000000000000e+02,3.718000000000000000e+03,2.545165634155273438e+01,-2.190507173538208008e+00,-1.985713362693786621e+00,1.929868698120117188e+01,-4.278635978698730469e+00,-1.257897257804870605e+00,4.857964598894800190e+01,4.280787443516367752e+00,0.000000000000000000e+00
4.590000000000000000e+02,9.130000000000000000e+02,2.897189521789550781e+01,3.702696859836578369e-01,2.201091051101684570e+00,5.747920227050781250e+01,2.930302429199218750e+01,-2.097683668136596680e+00,2.097176551844615844e+01,4.436654999460176185e+01,0.000000000000000000e+00
4.680000000000000000e+02,1.220000000000000000e+03,3.101789855957031250e+01,-1.547475910186767578e+01,5.480974912643432617e-01,1.136958885192871094e+01,-3.413797378540039062e+00,-1.491558909416198730e+00,6.489867017679577543e+01,2.238210118285118355e+01,0.000000000000000000e+00
4.920000000000000000e+02,3.300000000000000000e+01,2.890436172485351562e+01,4.565137326717376709e-01,1.053660750389099121e+00,3.765373992919921875e+01,-1.363034057617187500e+01,1.813046447932720184e-02,2.410016255964984211e+01,1.508111763521962700e+01,0.000000000000000000e+00
4.950000000000000000e+02,1.830000000000000000e+03,2.731021499633789062e+01,1.119906544685363770e+00,9.658095240592956543e-01,3.863364791870117188e+01,-2.024237811565399170e-01,-2.320529699325561523e+00,6.597257342208175146e+01,1.347701224100018891e+01,0.000000000000000000e+00
4.960000000000000000e+02,2.440000000000000000e+02,2.769183349609375000e+01,4.863837659358978271e-01,9.174439907073974609e-01,2.639013671875000000e+01,-2.639254808425903320e+00,1.012230873107910156e+00,3.904919835864755129e+01,3.685860857341182739e-01,1.000000000000000000e+00
5.020000000000000000e+02,3.120000000000000000e+02,2.751395797729492188e+01,3.226294517517089844e-01,8.005847930908203125e-01,2.625736045837402344e+01,-4.236165046691894531e+00,4.190629720687866211e-01,4.332871433175447606e+01,1.628468497549286020e+00,0.000000000000000000e+00
5.050000000000000000e+02,3.689000000000000000e+03,2.748125457763671875e+01,4.489129185676574707e-01,7.220396399497985840e-01,2.526582145690917969e+01,-2.977148532867431641e+00,1.231465935707092285e+00,4.574995557805305424e+01,7.321993856350654806e-01,1.000000000000000000e+00
5.260000000000000000e+02,6.640000000000000000e+02,2.807240867614746094e+01,5.901696085929870605e-01,1.953313350677490234e-01,2.531963539123535156e+01,-2.671628236770629883e+00,6.852475404739379883e-01,4.031759588967137375e+01,1.150147143943222705e+00,0.000000000000000000e+00
5.290000000000000000e+02,3.196000000000000000e+03,2.816072654724121094e+01,3.527352213859558105e-01,9.138926863670349121e-02,2.544326782226562500e+01,-2.536597251892089844e+00,6.041046380996704102e-01,3.856401412593541522e+01,1.123157037425433158e+00,0.000000000000000000e+00
5.340000000000000000e+02,1.765000000000000000e+03,2.810368537902832031e+01,3.861595988273620605e-01,-2.731124162673950195e-01,1.383320331573486328e+01,2.414096146821975708e-01,-1.345526099205017090e+00,3.664764401975632779e+01,1.300352646666709155e+01,0.000000000000000000e+00
5.390000000000000000e+02,5.310000000000000000e+02,1.975408554077148438e+01,-9.452001571655273438e+00,1.329938411712646484e+00,8.421049118041992188e+00,-1.144872379302978516e+01,-6.469098329544067383e-01,0.000000000000000000e+00,8.798253099200936234e+00,0.000000000000000000e+00
5.780000000000000000e+02,1.240000000000000000e+03,1.989885902404785156e+01,-1.063934803009033203e+00,4.841865301132202148e-01,8.177324676513671875e+01,9.564198493957519531e+00,-4.365520954132080078e+00,2.379105860234921010e+01,6.513412843736732327e+01,0.000000000000000000e+00
5.800000000000000000e+02,1.644000000000000000e+03,1.853621673583984375e+01,-1.120494365692138672e+01,4.466608762741088867e-01,1.188364791870117188e+01,-2.624329626560211182e-01,-1.101521253585815430e+00,3.321455721653820348e+01,1.348700988544538859e+01,0.000000000000000000e+00
5.830000000000000000e+02,2.673000000000000000e+03,2.000811386108398438e+01,-1.073028683662414551e+00,3.577073514461517334e-01,1.293479614257812500e+02,1.063306427001953125e+01,-2.974383592605590820e+00,2.041241452319315286e+01,1.120533492045656772e+02,0.000000000000000000e+00
5.860000000000000000e+02,3.471000000000000000e+03,1.860260009765625000e+01,-8.657542228698730469e+00,3.251105844974517822e-01,5.243943405151367188e+01,8.751317024230957031e+00,-3.024450302124023438e+00,3.255646921484236600e+01,4.148738350453913171e+01,0.000000000000000000e+00
5.950000000000000000e+02,5.200000000000000000e+01,1.760778999328613281e+01,-1.203927612304687500e+01,1.954796463251113892e-01,2.502650260925292969e+01,-4.935304164886474609e+00,8.173748970031738281e+00,0.000000000000000000e+00,1.586673087760096834e+01,0.000000000000000000e+00
5.980000000000000000e+02,1.951000000000000000e+03,2.080632781982421875e+01,-2.745716333389282227e+00,1.920152902603149414e-01,1.569245529174804688e+01,-5.069268941879272461e-01,-1.270087957382202148e+00,4.665213597430976478e+01,5.708639221216780690e+00,0.000000000000000000e+00
6.040000000000000000e+02,3.419000000000000000e+03,1.862443351745605469e+01,-1.057865238189697266e+01,1.278274357318878174e-01,8.424041748046875000e+00,-3.730214595794677734e+00,-1.105743527412414551e+00,3.226808028241762116e+01,1.149641025260601523e+01,0.000000000000000000e+00
6.090000000000000000e+02,1.060000000000000000e+02,1.857628059387207031e+01,-1.044274234771728516e+01,8.164054900407791138e-02,3.127591514587402344e+01,-1.225664615631103516e+01,1.999187111854553223e+00,4.872810418682339417e+01,1.570482454357290969e+01,0.000000000000000000e+00
6.130000000000000000e+02,1.680000000000000000e+02,1.636891555786132812e+01,-1.456734085083007812e+01,5.101754516363143921e-02,2.714918518066406250e+01,-5.987694263458251953e+00,1.424009323120117188e+00,2.569197271427670870e+01,1.751082973918860120e+01,0.000000000000000000e+00
6.300000000000000000e+02,2.409000000000000000e+03,1.828353309631347656e+01,-1.082828044891357422e+01,-4.248099029064178467e-02,3.044628143310546875e+01,-1.230578136444091797e+01,1.166915178298950195e+00,3.156537101823931835e+01,1.515346127406141186e+01,0.000000000000000000e+00
6.340000000000000000e+02,3.603000000000000000e+03,2.080186843872070312e+01,-2.427198410034179688e+00,-6.277818977832794189e-02,1.905083847045898438e+01,-4.711345195770263672e+00,-5.679041892290115356e-02,4.996530955555168418e+01,2.670880590195103821e-01,1.000000000000000000e+00
6.360000000000000000e+02,2.883000000000000000e+03,2.074894142150878906e+01,-2.614954471588134766e+00,-6.457312777638435364e-02,7.493481159210205078e+00,-7.618125677108764648e-01,-1.285658121109008789e+00,2.938130499642949545e+01,1.207565052436818576e+01,0.000000000000000000e+00
6.420000000000000000e+02,6.600000000000000000e+01,2.952534103393554688e+01,-9.978221058845520020e-01,1.032236814498901367e+00,2.701156806945800781e+01,-3.055495738983154297e+00,2.893076419830322266e+00,2.725208232458320978e+01,2.222849275534591662e+00,0.000000000000000000e+00
6.520000000000000000e+02,2.851000000000000000e+03,2.070275688171386719e+01,-2.684283733367919922e+00,-1.149601414799690247e-01,2.358009338378906250e+01,-4.704640388488769531e+00,-1.676656961441040039e+00,3.408909374343552656e+01,5.172030767075619373e+00,0.000000000000000000e+00
6.630000000000000000e+02,7.860000000000000000e+02,2.712995529174804688e+01,-1.060809612274169922e+00,4.184575676918029785e-01,2.709029769897460938e+01,-2.995871543884277344e+00,1.483112335205078125e+00,4.370450152484502127e+01,2.294934533972906365e+00,0.000000000000000000e+00
